name,price,status,shipping,freereturns,itemssold
Apple MacBook Pro 15 inch Laptop | QUAD CORE i7 | 16GB RAM | MacOS | 1TB SSD!,63900,Pre-Owned,0,True,0
"*Grade C* Apple MacBook Pro 13"" Core i5 2.7Ghz 2015 256GB SSD 8GB RAM",29317,Pre-Owned,0,True,0
Apple 13 MacBook Air TURBO BOOST i7 / 512GB SSD OSx-2020 -8GB  WARRANTY,51500,Refurbished,0,True,59
Apple MacBook Pro 13 inch Laptop | Space Gray | 2017-2018 | SSD | RETINA,74900,Refurbished,0,True,20
"Apple MacBook Pro Retina 15"" | 2.6 i7 16GB Ram 512GB SSD OSX 2020 Refurbished",56900,Refurbished,0,True,36
2017/2018 Apple MacBook Air 13 i7 3.2GHz Turbo 8GB RAM 512GB SSD - WARRANTY,58900,Pre-Owned,0,True,0
"New ListingApple MacBook Pro MLH32LL/A 15"" a1707 w/ 2.6GHz i7, 16GB RAM, 256GB SSD, Tbolt 3",34500,Pre-Owned,0,False,0
"New Listing13"" Space Gray Apple MacBook Pro 2018 2.3GHz Quad i5 8GB RAM 256GB SSD A1989 ",7000,Pre-Owned,0,False,0
New ListingMacbook Air 11-inch 2015 Intel i7 2.2Ghz CPU 8GB Ram 256GB SSD Intel HD 6000 GPU,29999,Pre-Owned,0,False,0
"New ListingApple MacBook Pro 13in 512GB SSD, Intel Core i7, 3.5GHz, 16GB RAM - 2017",38500,Pre-Owned,2435,False,0
"13"" Apple MacBook Air OS-2020 3.3Ghz i7 TURBO - 256GB SSD 8GB - 3 YEAR WARRANTY",49900,Pre-Owned,0,True,689
"2016-2017 Apple MacBook Pro Touch Bar 13"" Space Gray | 3.3GHz Core i7 16GB 1TB",97500,Pre-Owned,0,True,0
Apple MacBook Pro 15inch Retina Laptop OS2020 - 16GB RAM 1TB SSD - Quad Core i7,76500,Refurbished,0,True,0
"New ListingApple MacBook Air 13.3"" (512GB SSD, Intel Core i7, 2.2 GHz, 8GB) Laptop - Silver",20000,Pre-Owned,0,False,0
"New ListingApple MacBook Pro 13.3"" (128GB SSD, Intel Core i5 8th Gen.,  1.4 GHz, 8GB)...",60000,Pre-Owned,0,False,0
"New ListingMacBook Pro 2018 15"" Retina 2.6GHz 6-core i7 500GB SSD 16GB RAM Radeon Pro 560X",62500,Pre-Owned,3800,False,0
"Apple MacBook Air 11.6"" Core i5-5250U Dual-Core 1.6GHz 4GB 128GB SSD MJVM2LL/A",20999,Refurbished,0,True,1676
"New ListingApple MacBook Pro (13-inch, Mid 2012) - Upgraded Samsung SSD 500GB + 8GB Memory",19500,Pre-Owned,1265,False,0
"New ListingApple MacBook 12"" (512GB, Intel Core i5 7th Gen., 1.3GHz, 8GB RAM) A1534",26700,Pre-Owned,1902,False,0
"2020 Apple MacBook Air 13"" Gray | 1.1GHz i5 8GB 256 GB SSD Certified Refurbished",73999,Certified - Refurbished,0,True,0
" Apple MacBook 13"" Laptop | UPGRADED 8GB RAM 1TB HD | OS HIGH SIERRA. WARRANTY",14900,Refurbished,0,True,0
"13"" Apple MacBook Pro 3.10Ghz i5 16GB 1TB SSD Hybrid OSx-2019 - 3 YEAR WARRANTY",44900,Refurbished,0,True,750
"MacBook Pro 13"" Apple Laptop | i7 | 1TB SSD | 16GB RAM | MacOS | WARRANTY",28986,Refurbished,0,True,0
"Apple MacBook Pro 13"" A1278 Mid-2012 Intel i5-3210M 4GB 500GB macOS 10.15 - ZY",17099,Refurbished,0,False,0
MacBook Pro 15 inch RETINA Laptop / QUAD CORE i7 / 1TB SSD! / WARRANTY OS2019,66700,Refurbished,0,True,0
"Apple MacBook Pro 13"" 2.9GHz i7 8GB RAM 480GB SSD Certified Refurbished A1278",48999,Certified - Refurbished,0,True,0
Apple MacBook Pro 13 TOUCH BAR 2.9GHz i5 | SILVER | 1TB SSD 8GB | 2016-2017,55000,Pre-Owned,0,False,8
"MacBook Pro 13"" Apple Laptop | i7 | 1TB SSD | 16GB RAM | MacOS | 3 YEAR WARRANTY",31800,Refurbished,0,True,0
"Apple Macbook Pro 13"" Laptop | i5 8GB RAM | 500GB HD | MacOS Catalina | WARRANTY",32500,Refurbished,0,True,0
MacBook Pro 15 inch Laptop / 3.3GHz Quad Core i7 / 16GB RAM 1TB SSD / MacOS2017,62500,Refurbished,0,True,70
,,False,0,False,0
"Apple MacBook Pro 13"" Laptop | 512GB SSD | 8GB RAM | MacOS-2020 | WARRANTY ! !",39900,Pre-Owned,0,True,0
"Apple MacBook Air Retina 13"" Silver A2179 2020",74999,Brand New,0,True,0
"Apple MacBook Air 13"" 256GB SSD 2.8ghz i5 TURBO BOOST OSx-2019 - 3 YEAR WARRANTY",39900,Refurbished,0,True,0
"Apple MacBook Pro 13"" Pre-Retina Laptop / 2012-2015 / 500 GB / MacOS / WARRANTY!",39900,Pre-Owned,0,True,132
New ListingApple MacBook Air 13.3 inch Laptop - A1466 (2015) with charger bundle,21500,Pre-Owned,1200,False,0
"2015 Apple MacBook Pro 13"" Retina/ Dual Core i5/ 8GB /128GB SSD OS Big Sur ",30900,Refurbished,0,True,0
"New ListingApple MacBook Pro 15"" A1398 11,3 MGXC2LL/A (July, 2014) 500GB SSD 16GB RAM",49999,Pre-Owned,1014,False,0
2017/2018 Apple MacBook Air 13 i7 3.2GHz Turbo 8GB RAM 1TB SSD - WARRANTY,63300,Refurbished,0,True,0
"New ListingApple MacBook Pro 13in (256GB SSD, M1, 8GB) Laptop - Silver - MYDA2LL/A...",68800,Brand New,2250,False,0
A1465 MacBook Air 2015 2.2GHz i7 5650U 8GB RAM 128GB SSD BTO/CTO MacOS 10.15,25998,Refurbished,0,True,0
"13"" Apple MacBook Pro RETINA OS-2020 i5 3.10Ghz 8GB 512GB SSD - 3 YEAR WARRANTY",49900,Pre-Owned,0,True,1106
2015 APPLE MACBOOK PRO 13 | RETINA LAPTOP | INTEL 3.1GHz i7 | 16GB | 1TB SSD |,69600,Refurbished,0,True,0
"Apple MacBook Air Laptop Core i5 1.8GHz 4GB RAM 128GB SSD 13"" - MD231LL/A (2012)",26997,Open Box,0,True,0
